"year","player","max(DM)","avg(DM)","min(DM)"
2004,"Michal Tabara",0.549019607843137,0.549019607843137,0.549019607843137
2004,"Mikhail Youzhny",0.644444444444444,0.644444444444444,0.644444444444444
2004,"Nicolas Escude",1.44444444444444,1.23504273504273,0.871794871794872
2004,"Nicolas Kiefer",0.948717948717949,0.948717948717949,0.948717948717949
2004,"Nicolas Lapentti",2.40909090909091,1.67751842751843,0.945945945945946
2004,"Nicolas Mahut",0.804347826086957,0.804347826086957,0.804347826086957
2004,"Nicolas Massu",0.74468085106383,0.74468085106383,0.74468085106383
2004,"Nikolay Davydenko",1.08108108108108,0.967369808833223,0.853658536585366
2004,"Olivier Mutis",0.780487804878049,0.780487804878049,0.780487804878049
2004,"Olivier Patience",1.17142857142857,0.911524511524511,0.509090909090909
2004,"Olivier Rochus",0.666666666666667,0.666666666666667,0.666666666666667
