"year","round","player","DM"
2011,"Third","Alexandr Dolgopolov",1.20588235294118
2011,"Third","Jurgen Melzer",1.28125
2011,"Third","Andy Murray",1.79310344827586
2011,"Third","Tomas Berdych",1.61538461538462
2011,"Third","Fernando Verdasco",1.46666666666667
2011,"Third","Nicolas Almagro",1.45
2011,"Third","Novak Djokovic",1.5
2011,"Third","Andy Roddick",1.39285714285714
2011,"Third","Stanislas Wawrinka",1.375
2011,"Third","Tommy Robredo",1.18918918918919
2011,"Third","Roger Federer",1.43243243243243
2011,"Second","Rafael Nadal",2.03846153846154
2011,"Second","Bernard Tomic",1.22222222222222
2011,"Second","John Isner",1.41666666666667
2011,"Second","Marin Cilic",1.40740740740741
2011,"Second","Mikhail Youzhny",1.21212121212121
2011,"Second","Milos Raonic",1.73684210526316
2011,"Second","Richard Berankis",2.95
2011,"Second","David Ferrer",2.28571428571429
2011,"Second","Robin Soderling",2.17647058823529
2011,"Second","Jan Hernych",1.07894736842105
2011,"Second","Alexandr Dolgopolov",1.95
2011,"Second","Jo-Wilfried Tsonga",1.0625
2011,"Second","Jurgen Melzer",1.45161290322581
2011,"Second","Marcos Baghdatis",1.32258064516129
2011,"Second","Guillermo Garcia-Lopez",1.625
2011,"Second","Andy Murray",1.44117647058824
2011,"Second","Tomas Berdych",1.3448275862069
2011,"Second","Richard Gasquet",1.53571428571429
2011,"Second","Kei Nishikori",1.10810810810811
2011,"Second","Fernando Verdasco",1.17142857142857
2011,"Second","Nicolas Almagro",1.03030303030303
2011,"Second","Ivan Ljubicic",1.08571428571429
2011,"Second","Viktor Troicki",1.1
2011,"Second","Novak Djokovic",1.39285714285714
2011,"Second","Andy Roddick",2.05882352941176
2011,"Second","Robin Haase",1.125
2011,"Second","Stanislas Wawrinka",1.3448275862069
2011,"Second","Gael Monfils",1.28571428571429
2011,"Second","Tommy Robredo",1.20588235294118
2011,"Second","Sergiy Stakhovsky",1.23076923076923
2011,"Second","Xavier Malisse",1.80645161290323
2011,"Second","Roger Federer",1.22857142857143
2011,"First","Rafael Nadal",3.53846153846154
2011,"First","Ryan Sweeting",1.22857142857143
2011,"First","Bernard Tomic",1.37037037037037
2011,"First","Feliciano Lopez",1.3125
2011,"First","John Isner",1.22222222222222
2011,"First","Radek Stepanek",2
2011,"First","Santiago Giraldo",1.37142857142857
2011,"First","Marin Cilic",1.84
2011,"First","Mikhail Youzhny",1.61904761904762
2011,"First","Blaz Kavcic",0.916666666666667
2011,"First","Milos Raonic",1.45454545454545
2011,"First","Michael Llodra",1.3030303030303
2011,"First","David Nalbandian",0.974358974358974
2011,"First","Richard Berankis",1.33333333333333
2011,"First","Michael Russell",1.1025641025641
2011,"First","David Ferrer",1.51851851851852
2011,"First","Robin Soderling",2
2011,"First","Gilles Muller",1.23333333333333
2011,"First","Jan Hernych",1.17647058823529
2011,"First","Thomaz Bellucci",1.07894736842105
2011,"First","Benjamin Becker",1.2962962962963
2011,"First","Alexandr Dolgopolov",1.77777777777778
2011,"First","Andreas Seppi",1.08333333333333
2011,"First","Jo-Wilfried Tsonga",1
2011,"First","Jurgen Melzer",1.56666666666667
2011,"First","Pere Riba",0.861111111111111
2011,"First","Juan Martin Del Potro",1.06060606060606
2011,"First","Marcos Baghdatis",1.20588235294118
2011,"First","Guillermo Garcia-Lopez",1.19444444444444
2011,"First","Eduardo Schwank",2.35
2011,"First","Illya Marchenko",1.44444444444444
2011,"First","Andy Murray",1.57142857142857
2011,"First","Tomas Berdych",1.62068965517241
2011,"First","Philipp Kohlschreiber",0.875
2011,"First","Adrian Mannarino",1.46428571428571
2011,"First","Richard Gasquet",1.53333333333333
2011,"First","Florian Mayer",1.12121212121212
2011,"First","Kei Nishikori",1.19444444444444
2011,"First","Janko Tipsarevic",1.46666666666667
2011,"First","Fernando Verdasco",1.84
2011,"First","Nicolas Almagro",1.2
2011,"First","Igor Andreev",1.17073170731707
2011,"First","Benoit Paire",1.51724137931034
2011,"First","Ivan Ljubicic",1.69565217391304
2011,"First","Viktor Troicki",1.42424242424242
2011,"First","Nicolas Mahut",1.27586206896552
2011,"First","Ivan Dodig",1.35
2011,"First","Novak Djokovic",1.96296296296296
2011,"First","Andy Roddick",1.75
2011,"First","Igor Kunitsyn",1.10526315789474
2011,"First","Robin Haase",1.29032258064516
2011,"First","Juan Monaco",1.23684210526316
2011,"First","Stanislas Wawrinka",1.19354838709677
2011,"First","Grigor Dimitrov",2.13636363636364
2011,"First","Frederico Gil",1.07894736842105
2011,"First","Gael Monfils",1.33333333333333
2011,"First","Mardy Fish",1.05882352941176
2011,"First","Tommy Robredo",1.21875
2011,"First","Sergiy Stakhovsky",1.45161290322581
2011,"First","Lukasz Kubot",1.17647058823529
2011,"First","Albert Montanes",1.16129032258065
2011,"First","Xavier Malisse",1.46875
2011,"First","Gilles Simon",1.32258064516129
2011,"First","Roger Federer",2.6
2012,"Final","Novak Djokovic",1.20588235294118
2012,"semi","Novak Djokovic",1.16666666666667
2012,"semi","Rafael Nadal",1.15151515151515
2012,"quarter","Novak Djokovic",1.38709677419355
2012,"quarter","Andy Murray",1.60606060606061
2012,"quarter","Roger Federer",1.76
2012,"quarter","Rafael Nadal",1.15625
2012,"Fourth","Novak Djokovic",1.42424242424242
2012,"Fourth","David Ferrer",1.53125
2012,"Fourth","Andy Murray",1.82857142857143
2012,"Fourth","Kei Nishikori",1.16666666666667
2012,"Fourth","Juan Martin Del Potro",1.82758620689655
2012,"Fourth","Roger Federer",1.71428571428571
2012,"Fourth","Tomas Berdych",1.23076923076923
2012,"Fourth","Rafael Nadal",2
2012,"Third","Novak Djokovic",2.9047619047619
2012,"Third","Lleyton Hewitt",1
2012,"Third","Richard Gasquet",1.82142857142857
2012,"Third","David Ferrer",1.46153846153846
2012,"Third","Andy Murray",1.7
2012,"Third","Mikhail Kukushkin",1.07142857142857
2012,"Third","Kei Nishikori",1.24324324324324
2012,"Third","Jo-Wilfried Tsonga",1.88461538461538
2012,"Third","Philipp Kohlschreiber",1.57142857142857
2012,"Third","Juan Martin Del Potro",1.92592592592593
2012,"Third","Bernard Tomic",0.923076923076923
2012,"Third","Roger Federer",1.63636363636364
2012,"Third","Tomas Berdych",1.44444444444444
2012,"Third","Nicolas Almagro",1.46875
2012,"Third","Feliciano Lopez",1.20689655172414
2012,"Third","Rafael Nadal",2.09090909090909
2012,"Second","Novak Djokovic",2
2012,"Second","Nicolas Mahut",1
2012,"Second","Milos Raonic",1.21875
2012,"Second","Lleyton Hewitt",1.19354838709677
2012,"Second","Janko Tipsarevic",1.41379310344828
2012,"Second","Richard Gasquet",1.63636363636364
2012,"Second","Juan Ignacio Chela",1.25581395348837
2012,"Second","David Ferrer",1.16216216216216
2012,"Second","Andy Murray",1.91304347826087
2012,"Second","Michael Llodra",1.14634146341463
2012,"Second","Mikhail Kukushkin",1.2
2012,"Second","Gael Monfils",1.20512820512821
2012,"Second","Julien Benneteau",1
2012,"Second","Kei Nishikori",1
2012,"Second","Frederico Gil",1.23529411764706
2012,"Second","Jo-Wilfried Tsonga",1.28125
2012,"Second","Alejandro Falla",1.13157894736842
2012,"Second","Philipp Kohlschreiber",3.52631578947368
2012,"Second","Yen-Hsun Lu",2.875
2012,"Second","Juan Martin Del Potro",1.41176470588235
2012,"Second","Alexandr Dolgopolov",1.18918918918919
2012,"Second","Bernard Tomic",1.18518518518519
2012,"Second","Ivo Karlovic",1.12903225806452
2012,"Second","Tomas Berdych",1.8695652173913
2012,"Second","Kevin Anderson",1.12903225806452
2012,"Second","Stanislas Wawrinka",1.23076923076923
2012,"Second","Nicolas Almagro",1.27272727272727
2012,"Second","John Isner",0.916666666666667
2012,"Second","Feliciano Lopez",1.24324324324324
2012,"Second","Lukas Lacko",1.32258064516129
2012,"Second","Rafael Nadal",1.36363636363636
2012,"First","Novak Djokovic",1.97058823529412
2012,"First","Santiago Giraldo",2.03846153846154
2012,"First","Tatsuma Ito",1.13333333333333
2012,"First","Nicolas Mahut",1.21052631578947
2012,"First","Milos Raonic",1.92307692307692
2012,"First","Philipp Petzschner",2.13793103448276
2012,"First","Lleyton Hewitt",1.11111111111111
2012,"First","Andy Roddick",1.62068965517241
2012,"First","Janko Tipsarevic",1.34615384615385
2012,"First","James Duckworth",1.37931034482759
2012,"First","Andrey Golubev",1.04651162790698
2012,"First","Richard Gasquet",1.38235294117647
2012,"First","Juan Ignacio Chela",1.23684210526316
2012,"First","Pablo Andujar",1.375
2012,"First","Ryan Sweeting",1.69565217391304
2012,"First","David Ferrer",1.82758620689655
2012,"First","Andy Murray",1.20588235294118
2012,"First","Edouard Roger-Vasselin",1.39285714285714
2012,"First","Michael Llodra",1.36363636363636
2012,"First","Alex Jr. Bogomolov",1.64516129032258
2012,"First","Viktor Troicki",1.15625
2012,"First","Mikhail Kukushkin",1.67857142857143
2012,"First","Thomaz Bellucci",1.35483870967742
2012,"First","Gael Monfils",1.23684210526316
2012,"First","Gilles Simon",1.31428571428571
2012,"First","Julien Benneteau",1.48275862068966
2012,"First","Matthew Ebden",1.66666666666667
2012,"First","Kei Nishikori",1.67741935483871
2012,"First","Marcel Granollers",1.33333333333333
2012,"First","Frederico Gil",1.52777777777778
2012,"First","Ricardo Mello",1.32432432432432
2012,"First","Jo-Wilfried Tsonga",1.05405405405405
2012,"First","Mardy Fish",2.05263157894737
2012,"First","Alejandro Falla",1.27027027027027
2012,"First","Pere Riba",1.02564102564103
2012,"First","Philipp Kohlschreiber",1.35483870967742
2012,"First","Yen-Hsun Lu",1.08571428571429
2012,"First","Florent Serra",0.866666666666667
2012,"First","Blaz Kavcic",1.25
2012,"First","Juan Martin Del Potro",1.05
2012,"First","Alexandr Dolgopolov",1.5
2012,"First","Tobias Kamke",1.78125
2012,"First","Sam Querrey",1.7037037037037
2012,"First","Bernard Tomic",1.11111111111111
2012,"First","Ivo Karlovic",1.1875
2012,"First","Carlos Berlocq",1.02564102564103
2012,"First","Andreas Beck",1.13888888888889
2012,"First","Roger Federer",1.68965517241379
2012,"First","Tomas Berdych",1.3448275862069
2012,"First","Olivier Rochus",2.28
2012,"First","Sergiy Stakhovsky",1.1025641025641
2012,"First","Kevin Anderson",1.54545454545455
2012,"First","Stanislas Wawrinka",1.55882352941176
2012,"First","Marcos Baghdatis",1.65384615384615
2012,"First","Grigor Dimitrov",0.971428571428571
2012,"First","Nicolas Almagro",1.14285714285714
2012,"First","John Isner",1.38461538461538
2012,"First","David Nalbandian",1.26829268292683
2012,"First","Flavio Cipolla",1.11111111111111
2012,"First","Feliciano Lopez",1.15625
2012,"First","Lukas Lacko",1.36
2012,"First","Donald Young",1.28947368421053
2012,"First","Tommy Haas",1.58333333333333
2012,"First","Rafael Nadal",2.47619047619048
2013,"Final","Novak Djokovic",1.17857142857143
2013,"semi","Andy Murray",1.3448275862069
2013,"semi","Novak Djokovic",3.92857142857143
2013,"quarter","Andy Murray",1.47222222222222
2013,"quarter","Roger Federer",1.09677419354839
2013,"quarter","Novak Djokovic",1.62962962962963
2013,"quarter","David Ferrer",1.17142857142857
2013,"Fourth","Roger Federer",2.4
2013,"Fourth","Jeremy Chardy",1.26470588235294
2013,"Fourth","Jo-Wilfried Tsonga",1.13333333333333
2013,"Fourth","Andy Murray",1.73333333333333
2013,"Fourth","David Ferrer",1.44736842105263
2013,"Fourth","Tomas Berdych",1.27272727272727
2013,"Fourth","Nicolas Almagro",2.07692307692308
2013,"Fourth","Novak Djokovic",1.11764705882353
2013,"Third","Gilles Simon",0.911111111111111
2013,"Third","Roger Federer",1.6
2013,"Third","Milos Raonic",1.6
2013,"Third","Andreas Seppi",1.02439024390244
2013,"Third","Jo-Wilfried Tsonga",1.89285714285714
2013,"Third","Richard Gasquet",1.44827586206897
2013,"Third","Jeremy Chardy",1.03030303030303
2013,"Third","Andy Murray",1.20512820512821
2013,"Third","Tomas Berdych",1.96
2013,"Third","David Ferrer",1.34285714285714
2013,"Third","Stanislas Wawrinka",1.10344827586207
2013,"Third","Novak Djokovic",1.85714285714286
2013,"Third","Kevin Anderson",1.16129032258065
2013,"Third","Kei Nishikori",1.59259259259259
2013,"Third","Janko Tipsarevic",1.0625
2013,"Third","Nicolas Almagro",1.55
2013,"Second","Gael Monfils",0.921052631578947
2013,"Second","Marin Cilic",2
2013,"Second","Ivan Dodig",1.16666666666667
2013,"Second","Blaz Kavcic",1.14705882352941
2013,"Second","Jeremy Chardy",1.37931034482759
2013,"Second","Richard Berankis",2.04166666666667
2013,"Second","Milos Raonic",1.82608695652174
2013,"Second","Bernard Tomic",1.07692307692308
2013,"Second","Gilles Simon",1.14285714285714
2013,"Second","Andy Murray",1.69230769230769
2013,"Second","Juan Martin Del Potro",1.91304347826087
2013,"Second","Philipp Kohlschreiber",1.84210526315789
2013,"Second","Jo-Wilfried Tsonga",1.17857142857143
2013,"Second","Roger Federer",1.55555555555556
2013,"Second","Richard Gasquet",1.82142857142857
2013,"Second","Andreas Seppi",1.10714285714286
2013,"Second","Kei Nishikori",1.32352941176471
2013,"Second","Tomas Berdych",1.62962962962963
2013,"Second","David Ferrer",1.40625
2013,"Second","Julien Benneteau",1.13513513513514
2013,"Second","Jurgen Melzer",1.09677419354839
2013,"Second","Radek Stepanek",1.48275862068966
2013,"Second","Stanislas Wawrinka",1.13513513513514
2013,"Second","Marcos Baghdatis",1.35483870967742
2013,"Second","Sam Querrey",0.914285714285714
2013,"Second","Evgeny Donskoy",1.23333333333333
2013,"Second","Jerzy Janowicz",1.16216216216216
2013,"Second","Kevin Anderson",1.46428571428571
2013,"Second","Novak Djokovic",3.64285714285714
2013,"Second","Janko Tipsarevic",1
2013,"Second","Fernando Verdasco",1.61764705882353
2013,"Second","Nicolas Almagro",1.35483870967742
2013,"First","James Duckworth",1.05882352941176
2013,"First","Bernard Tomic",2.21052631578947
2013,"First","Amir Weintraub",1.3
2013,"First","Jesse Levine",0.882352941176471
2013,"First","Jeremy Chardy",1.4
2013,"First","Juan Martin Del Potro",2.82352941176471
2013,"First","Daniel Brands",1.40909090909091
2013,"First","Marin Cilic",1.23333333333333
2013,"First","Gael Monfils",1.31034482758621
2013,"First","Ivan Dodig",1.07692307692308
2013,"First","Lukas Rosol",1.3448275862069
2013,"First","Gilles Simon",1.4375
2013,"First","Jo-Wilfried Tsonga",1.5
